,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,0.2,0.4,0.4,0.2,0.6,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.4,0.2,0.2,0.6,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.8,0,0.4,0.4,0.2,0.8,0.2,-5.55E-17
1,0.5,0.375,0.125,0.75,0,0.25,0.75,0,0.25,0.625,0.25,0.125,0.875,0.125,0,0.625,0.25,0.125,0.5,0.375,0.125,0.375,0.625,0,0.125,0.375,0.5,0.25,0.75,0,0,1,0,0.625,0,0.375,0.375,0.5,0.125
2,0.166666667,0.5,0.333333333,0.166666667,0,0.833333333,0.166666667,0,0.833333333,0.333333333,0,0.666666667,0.333333333,0.5,0.166666667,0.666666667,0,0.333333333,0.166666667,0.166666667,0.666666667,0.166666667,0.333333333,0.5,0.666666667,0.166666667,0.166666667,0,0.5,0.5,0,0.833333333,0.166666667,0.333333333,0.5,0.166666667,0.333333333,0.166666667,0.5
3,0.2,0.4,0.4,0.2,0,0.8,0.2,0,0.8,0.4,0,0.6,0.4,0.4,0.2,0.6,0,0.4,0.2,0.2,0.6,0.2,0.4,0.4,0.6,0.2,0.2,0,0.6,0.4,0,0.8,0.2,0.4,0.4,0.2,0.4,0.2,0.4
4,0.25,0.5,0.25,0.25,0,0.75,0.25,0,0.75,0.5,0,0.5,0.5,0.5,0,0.75,0,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0,0.75,0.25,0,0.75,0.25,0.5,0.25,0.25,0.25,0.25,0.5
5,0,0.5,0.5,0.4,0.3,0.3,0.5,0.3,0.2,0.4,0,0.6,0.4,0.5,0.1,0.1,0.5,0.4,0.3,0.1,0.6,0.4,0.1,0.5,0.6,0.4,0,0.4,0.1,0.5,0,1,0,0.4,0.3,0.3,0.2,0,0.8
6,0.333333333,0.333333333,0.333333333,0.266666667,0.4,0.333333333,0.533333333,0.2,0.266666667,0.333333333,0.333333333,0.333333333,0.533333333,0.333333333,0.133333333,0.466666667,0.266666667,0.266666667,0.533333333,0,0.466666667,0.2,0.266666667,0.533333333,0.333333333,0.2,0.466666667,0.2,0.266666667,0.533333333,0.266666667,0.666666667,0.066666667,0.666666667,0.133333333,0.2,0.333333333,0.333333333,0.333333333
7,0.25,0.75,0,0.375,0.375,0.25,0.5,0.25,0.25,0.625,0.375,0,0.625,0.375,0,0.75,0.25,0,0.375,0.25,0.375,0.625,0.125,0.25,0,0.5,0.5,0.375,0.375,0.25,0,0.75,0.25,0.5,0,0.5,0.125,0.25,0.625
8,0.285714286,0.714285714,0,0.428571429,0.428571429,0.142857143,0.571428571,0.285714286,0.142857143,0.571428571,0.428571429,5.55E-17,0.571428571,0.428571429,5.55E-17,0.714285714,0.285714286,0,0.428571429,0.142857143,0.428571429,0.571428571,0.142857143,0.285714286,0,0.428571429,0.571428571,0.428571429,0.285714286,0.285714286,0,0.714285714,0.285714286,0.571428571,0,0.428571429,0.142857143,0.285714286,0.571428571
9,0.428571429,0.428571429,0.142857143,0.428571429,0.428571429,0.142857143,0.428571429,0.428571429,0.142857143,0.571428571,0.285714286,0.142857143,0.571428571,0.428571429,5.55E-17,0.857142857,0,0.142857143,0.428571429,0.142857143,0.428571429,0.428571429,0.285714286,0.285714286,0.142857143,0.142857143,0.714285714,0.285714286,0.428571429,0.285714286,0,0.571428571,0.428571429,0.428571429,0.142857143,0.428571429,0.142857143,0.428571429,0.428571429
10,0,1,0,0.25,0.25,0.5,0.5,0,0.5,0.25,0.5,0.25,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.75,0,0.25,0.25,0.75,0,0.5,0.25,0.25,0,1,0,0.25,0.25,0.5,0.5,0,0.5
11,0.166666667,0.833333333,0,0.333333333,0.5,0.166666667,0.5,0.333333333,0.166666667,0.5,0.5,0,0.5,0.5,0,0.666666667,0.333333333,5.55E-17,0.333333333,0.166666667,0.5,0.666666667,0,0.333333333,0,0.5,0.5,0.5,0.166666667,0.333333333,0,0.833333333,0.166666667,0.5,0,0.5,0.166666667,0.166666667,0.666666667
12,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0,0.5,0.5,0.5,0,0.75,0,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0,0.75,0.25,0,0.5,0.5,0.25,0.25,0.5
13,0.444444444,0.444444444,0.111111111,0.777777778,0,0.222222222,0.777777778,0,0.222222222,0.555555556,0.333333333,0.111111111,0.888888889,0.111111111,5.55E-17,0.555555556,0.333333333,0.111111111,0.444444444,0.444444444,0.111111111,0.444444444,0.555555556,0,0.111111111,0.444444444,0.444444444,0.333333333,0.666666667,1.11E-16,0,1,0,0.555555556,0,0.444444444,0.444444444,0.444444444,0.111111111
14,0.333333333,0.444444444,0.222222222,0.222222222,0.222222222,0.555555556,0.444444444,0,0.555555556,0.333333333,0.222222222,0.444444444,0.444444444,0.444444444,0.111111111,0.666666667,0.111111111,0.222222222,0.333333333,0.111111111,0.555555556,0.222222222,0.444444444,0.333333333,0.444444444,0.222222222,0.333333333,0.111111111,0.555555556,0.333333333,0.111111111,0.666666667,0.222222222,0.555555556,0.333333333,0.111111111,0.333333333,0.333333333,0.333333333
15,0.090909091,0.545454545,0.363636364,0.272727273,0.363636364,0.363636364,0.636363636,0.090909091,0.272727273,0.272727273,0.272727273,0.454545455,0.272727273,0.545454545,0.181818182,0.181818182,0.545454545,0.272727273,0.272727273,0,0.727272727,0.545454545,0.181818182,0.272727273,0.454545455,0.454545455,0.090909091,0.545454545,0.181818182,0.272727273,0,0.909090909,0.090909091,0.454545455,0.272727273,0.272727273,0.545454545,0.090909091,0.363636364
16,0.1,0.5,0.4,0.2,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.3,0.2,0.3,0.3,0.4,0.1,0.4,0.5,0.5,0.2,0.3,0.4,0.5,0.1,0.3,0.4,0.3,0.1,0.9,0,0.2,0.4,0.4,0.7,0.1,0.2
17,0,0.5,0.5,0,0.166666667,0.833333333,0,0.166666667,0.833333333,0.333333333,0.166666667,0.5,0.333333333,0.666666667,1.11E-16,0.5,0,0.5,0,0.333333333,0.666666667,0.333333333,0.5,0.166666667,0.5,0.333333333,0.166666667,0,0.833333333,0.166666667,0,1,0,0.666666667,0,0.333333333,0.5,0,0.5
18,0.333333333,0.666666667,1.11E-16,0.333333333,0,0.666666667,0.333333333,0,0.666666667,1,0,0,1,0,0,1,0,0,0.333333333,0.666666667,1.11E-16,0.666666667,0.333333333,5.55E-17,0,0.666666667,0.333333333,0,1,0,0,1,0,0.333333333,0,0.666666667,0,0.333333333,0.666666667
19,0.1,0.5,0.4,0.2,0.2,0.6,0.3,0.1,0.6,0.3,0.3,0.4,0.6,0.1,0.3,0.4,0.2,0.4,0.1,0.5,0.4,0.5,0.3,0.2,0.4,0.5,0.1,0.2,0.6,0.2,0.1,0.9,0,0.1,0.4,0.5,0.6,0.1,0.3
20,0.1875,0.5625,0.25,0.1875,0.25,0.5625,0.3125,0.125,0.5625,0.375,0.125,0.5,0.4375,0.4375,0.125,0.5625,0.1875,0.25,0.3125,0.125,0.5625,0.3125,0.3125,0.375,0.5,0.3125,0.1875,0.1875,0.4375,0.375,0.125,0.875,0,0.3125,0.4375,0.25,0.3125,0.1875,0.5
21,0.142857143,0.285714286,0.571428571,0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,0.714285714,0.285714286,0,0.714285714,0.285714286,0.428571429,0.285714286,0.428571429,0,0.571428571,0.142857143,0.142857143,0.714285714,0.142857143,0.714285714,0.142857143,0.714285714,0.142857143,0.142857143,0,0.857142857,0.142857143,0,1,0,0.285714286,0.571428571,0.142857143,0.571428571,0.142857143,0.285714286
22,0.111111111,0.555555556,0.333333333,0.444444444,0.222222222,0.333333333,0.555555556,0.111111111,0.333333333,0.333333333,0.333333333,0.333333333,0.555555556,0.333333333,0.111111111,0.222222222,0.444444444,0.333333333,0.222222222,0.333333333,0.444444444,0.666666667,0.222222222,0.111111111,0.333333333,0.555555556,0.111111111,0.555555556,0.333333333,0.111111111,0,0.888888889,0.111111111,0.222222222,0.222222222,0.555555556,0.666666667,0.111111111,0.222222222
23,0,0.714285714,0.285714286,0.285714286,0.142857143,0.571428571,0.285714286,0.142857143,0.571428571,0.285714286,0.428571429,0.285714286,0.571428571,0.428571429,5.55E-17,0.428571429,0.285714286,0.285714286,0,0.571428571,0.428571429,0.571428571,0.285714286,0.142857143,0.285714286,0.571428571,0.142857143,0.285714286,0.571428571,0.142857143,0,1,0,0.428571429,0,0.571428571,0.571428571,0,0.428571429
24,0.307692308,0.384615385,0.307692308,0.538461538,0.153846154,0.307692308,0.692307692,0,0.307692308,0.307692308,0.384615385,0.307692308,0.538461538,0.384615385,0.076923077,0.307692308,0.384615385,0.307692308,0.153846154,0.384615385,0.461538462,0.461538462,0.461538462,0.076923077,0.307692308,0.384615385,0.307692308,0.461538462,0.461538462,0.076923077,0,0.846153846,0.153846154,0.461538462,0.076923077,0.461538462,0.692307692,0.307692308,0
25,0.444444444,0.222222222,0.333333333,0.666666667,0.111111111,0.222222222,0.666666667,0.111111111,0.222222222,0.444444444,0.222222222,0.333333333,0.666666667,0.333333333,5.55E-17,0.444444444,0.222222222,0.333333333,0.222222222,0.444444444,0.333333333,0.444444444,0.555555556,0,0.333333333,0.222222222,0.444444444,0.444444444,0.555555556,0,0,0.777777778,0.222222222,0.222222222,0.111111111,0.666666667,0.555555556,0.444444444,0
26,0.285714286,0.428571429,0.285714286,0.428571429,0.357142857,0.214285714,0.714285714,0.142857143,0.142857143,0.428571429,0.285714286,0.285714286,0.5,0.357142857,0.142857143,0.285714286,0.5,0.214285714,0.285714286,0.214285714,0.5,0.428571429,0.357142857,0.214285714,0.285714286,0.428571429,0.285714286,0.428571429,0.357142857,0.214285714,0.071428571,0.928571429,0,0.5,0.285714286,0.214285714,0.571428571,0.285714286,0.142857143
27,0.214285714,0.357142857,0.428571429,0.285714286,0.5,0.214285714,0.428571429,0.357142857,0.214285714,0.357142857,0.214285714,0.428571429,0.428571429,0.5,0.071428571,0.357142857,0.214285714,0.428571429,0.214285714,0.214285714,0.571428571,0.5,0.5,0,0.428571429,0.357142857,0.214285714,0.285714286,0.714285714,0,0,0.857142857,0.142857143,0.357142857,0.357142857,0.285714286,0.642857143,0.214285714,0.142857143
28,0.3125,0.5,0.1875,0.4375,0.3125,0.25,0.5625,0.1875,0.25,0.625,0.1875,0.1875,0.6875,0.1875,0.125,0.5625,0.25,0.1875,0.3125,0.375,0.3125,0.5625,0.25,0.1875,0.1875,0.4375,0.375,0.3125,0.5,0.1875,0.0625,0.75,0.1875,0.3125,0.3125,0.375,0.25,0.3125,0.4375
