,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
0,100,100,100,100,100,60,60,60,60,80,20,20,20,20,40,80,80,80,80,80,40,40,40,60,100,20,20,20,20,20,60,60,60,60,80,40,40,40,40,100,20,20,20,20,20,100,100,100,100,100,60,60,60,60,80,20,20,20,20,40,80,80,80,80,100,40,40,40,40,60,20,20,20,20,20,100,100,100,100,100,60,60,60,60,80,20,20,20,20,40,100,100,100,100,100,80,80,80,80,80,20,20,20,40,60,60,60,60,60,80,40,40,40,40,40,20,20,20,20,100,20,20,20,20,40,60,60,60,60,80,100,100,100,100,100,60,60,60,60,80,40,40,40,40,40,20,20,20,20,100,100,100,100,100,100,20,20,40,60,80,0,0,0,0,0,60,60,60,60,100,20,20,20,20,40,80,80,80,80,80,20,20,40,60,80,100,100,100,100,100,0,0,0,0,0
1,25,25,62.5,87.5,100,37.5,37.5,37.5,50,75,12.5,12.5,12.5,12.5,12.5,25,25,62.5,75,100,0,0,0,0,0,12.5,12.5,12.5,12.5,37.5,25,25,62.5,75,100,0,0,0,0,0,12.5,12.5,12.5,12.5,37.5,25,25,37.5,62.5,100,50,50,50,50,75,12.5,12.5,12.5,12.5,12.5,25,25,50,75,100,12.5,12.5,12.5,12.5,12.5,0,0,0,0,0,25,25,37.5,62.5,100,50,50,50,50,75,12.5,12.5,12.5,12.5,12.5,25,25,62.5,87.5,100,37.5,37.5,37.5,50,75,12.5,12.5,12.5,12.5,12.5,37.5,37.5,37.5,50,75,12.5,12.5,25,62.5,100,0,0,0,0,0,12.5,12.5,12.5,12.5,12.5,37.5,37.5,37.5,50,75,25,25,62.5,87.5,100,50,50,50,50,75,12.5,12.5,37.5,62.5,100,0,0,0,0,0,0,0,0,0,0,12.5,25,50,75,100,0,0,0,0,0,12.5,12.5,25,62.5,100,0,0,0,0,0,37.5,37.5,37.5,50,75,12.5,12.5,12.5,50,75,25,25,62.5,87.5,100,37.5,37.5,37.5,37.5,37.5
2,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,16.66666667,16.66666667,16.66666667,50,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,0,0,0,0,0,16.66666667,16.66666667,33.33333333,50,100,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,0,0,0,0,0,16.66666667,16.66666667,33.33333333,50,100,66.66666667,66.66666667,66.66666667,66.66666667,83.33333333,0,0,0,0,0,16.66666667,16.66666667,33.33333333,50,100,66.66666667,66.66666667,66.66666667,66.66666667,83.33333333,16.66666667,16.66666667,16.66666667,50,100,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,16.66666667,16.66666667,50,66.66666667,83.33333333,0,0,0,0,0,33.33333333,33.33333333,33.33333333,33.33333333,100,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,16.66666667,16.66666667,33.33333333,50,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,83.33333333,83.33333333,83.33333333,83.33333333,100,16.66666667,16.66666667,16.66666667,33.33333333,50,16.66666667,16.66666667,33.33333333,50,100,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,0,0,0,0,0,66.66666667,66.66666667,66.66666667,83.33333333,100,16.66666667,16.66666667,16.66666667,33.33333333,50,0,0,0,0,0,16.66666667,16.66666667,33.33333333,50,100,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,100,16.66666667,16.66666667,16.66666667,33.33333333,50,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,100,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,16.66666667,16.66666667,16.66666667,50,66.66666667
3,80,80,80,80,80,40,40,40,40,60,20,20,20,20,100,80,80,80,80,80,0,0,0,0,0,20,20,40,60,100,80,80,80,80,80,0,0,0,0,0,20,20,40,60,100,60,60,60,60,80,0,0,0,0,0,20,20,20,40,100,60,60,60,60,80,40,40,40,40,100,20,20,20,20,20,40,40,40,60,80,0,0,0,0,0,20,20,20,20,100,80,80,80,80,80,60,60,60,60,60,20,20,20,40,100,60,60,60,60,60,80,80,80,80,100,20,20,20,20,40,20,20,20,40,100,60,60,60,60,60,80,80,80,80,80,0,0,0,0,0,60,60,60,80,100,20,20,20,20,40,0,0,0,0,0,20,20,40,60,100,80,80,80,80,80,80,80,80,80,100,20,20,20,20,40,60,60,60,60,60,20,20,20,20,100,80,80,80,80,80,40,40,40,40,60
4,75,75,75,75,75,25,25,25,25,50,100,100,100,100,100,75,75,75,75,75,0,0,0,0,0,25,25,25,50,100,75,75,75,75,75,0,0,0,0,0,25,25,25,50,100,50,50,50,50,75,0,0,0,0,0,25,25,25,25,100,50,50,50,50,75,25,25,25,25,100,0,0,0,0,0,25,25,25,50,75,0,0,0,0,0,100,100,100,100,100,75,75,75,75,75,50,50,50,50,50,25,25,25,25,100,50,50,50,50,50,75,75,75,75,100,25,25,25,25,25,25,25,25,25,100,50,50,50,50,50,75,75,75,75,75,0,0,0,0,0,50,50,50,75,100,25,25,25,25,25,0,0,0,0,0,25,25,25,50,100,75,75,75,75,75,75,75,75,75,100,25,25,25,25,25,50,50,50,50,50,100,100,100,100,100,75,75,75,75,75,25,25,25,25,50
5,0,0,0,0,0,30,30,40,70,90,10,10,20,50,100,30,30,70,80,90,20,20,20,50,100,10,10,10,40,60,30,30,60,70,90,20,20,20,50,100,10,10,10,10,40,30,30,70,80,90,0,0,0,0,0,10,10,40,50,100,30,30,70,80,90,10,10,20,40,100,60,60,60,60,60,40,40,40,40,40,30,30,60,70,90,10,10,20,50,100,30,30,30,70,90,80,80,80,80,80,10,10,40,50,100,30,30,70,80,90,10,10,10,10,10,20,20,40,50,100,10,10,40,50,100,30,30,70,80,90,0,0,0,0,0,30,30,70,80,90,10,10,10,10,10,20,20,40,50,100,0,0,0,0,0,10,20,50,70,100,0,0,0,0,0,10,10,20,50,100,40,40,40,60,80,30,30,30,70,90,10,10,10,10,60,0,0,0,0,0,20,30,50,80,100
6,13.33333333,13.33333333,33.33333333,46.66666667,100,26.66666667,26.66666667,53.33333333,60,86.66666667,6.666666667,6.666666667,20,40,80,13.33333333,13.33333333,53.33333333,60,86.66666667,26.66666667,26.66666667,46.66666667,66.66666667,100,6.666666667,6.666666667,20,40,80,13.33333333,46.66666667,60,86.66666667,100,26.66666667,26.66666667,26.66666667,33.33333333,66.66666667,6.666666667,6.666666667,20,40,80,13.33333333,13.33333333,33.33333333,53.33333333,86.66666667,26.66666667,26.66666667,46.66666667,66.66666667,100,6.666666667,6.666666667,20,40,80,13.33333333,33.33333333,53.33333333,86.66666667,100,6.666666667,6.666666667,20,26.66666667,66.66666667,73.33333333,73.33333333,73.33333333,73.33333333,80,13.33333333,13.33333333,33.33333333,66.66666667,100,53.33333333,53.33333333,60,73.33333333,86.66666667,6.666666667,6.666666667,20,40,80,13.33333333,33.33333333,53.33333333,86.66666667,100,0,0,0,0,0,6.666666667,6.666666667,26.66666667,66.66666667,80,53.33333333,53.33333333,53.33333333,60,86.66666667,6.666666667,6.666666667,13.33333333,20,40,26.66666667,33.33333333,66.66666667,80,100,6.666666667,6.666666667,20,40,80,53.33333333,53.33333333,53.33333333,60,86.66666667,13.33333333,13.33333333,33.33333333,66.66666667,100,53.33333333,53.33333333,53.33333333,60,86.66666667,6.666666667,6.666666667,13.33333333,20,40,26.66666667,33.33333333,66.66666667,80,100,33.33333333,33.33333333,46.66666667,93.33333333,100,6.666666667,20,53.33333333,66.66666667,86.66666667,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,6.666666667,13.33333333,33.33333333,46.66666667,100,73.33333333,73.33333333,73.33333333,73.33333333,80,53.33333333,53.33333333,53.33333333,60,86.66666667,6.666666667,6.666666667,20,40,80,13.33333333,13.33333333,33.33333333,46.66666667,100,26.66666667,26.66666667,53.33333333,60,86.66666667
7,50,50,50,50,100,12.5,12.5,37.5,62.5,87.5,0,0,0,0,0,25,25,25,50,100,37.5,37.5,37.5,62.5,75,12.5,12.5,12.5,12.5,87.5,25,25,50,62.5,100,37.5,37.5,37.5,37.5,75,12.5,12.5,12.5,12.5,87.5,12.5,12.5,25,50,100,37.5,37.5,37.5,62.5,75,0,0,0,0,0,12.5,12.5,25,50,100,37.5,37.5,37.5,62.5,75,0,0,0,0,0,12.5,12.5,50,75,100,25,25,25,25,62.5,0,0,0,0,0,25,25,25,50,100,12.5,12.5,12.5,12.5,87.5,37.5,37.5,37.5,62.5,75,12.5,12.5,25,50,87.5,100,100,100,100,100,37.5,37.5,37.5,37.5,75,0,0,0,0,0,12.5,12.5,25,62.5,87.5,37.5,37.5,50,75,100,25,25,25,50,62.5,12.5,12.5,12.5,87.5,100,37.5,37.5,37.5,37.5,75,0,0,0,0,0,12.5,12.5,37.5,62.5,87.5,50,50,50,50,100,37.5,37.5,62.5,75,100,0,0,0,0,0,12.5,12.5,25,50,87.5,62.5,62.5,62.5,62.5,62.5,50,50,50,50,100,12.5,12.5,25,37.5,87.5
8,42.85714286,42.85714286,42.85714286,42.85714286,100,14.28571429,14.28571429,28.57142857,57.14285714,85.71428571,0,0,0,0,0,14.28571429,14.28571429,14.28571429,42.85714286,100,28.57142857,28.57142857,28.57142857,57.14285714,71.42857143,85.71428571,85.71428571,85.71428571,85.71428571,85.71428571,14.28571429,14.28571429,42.85714286,57.14285714,100,28.57142857,28.57142857,28.57142857,28.57142857,71.42857143,85.71428571,85.71428571,85.71428571,85.71428571,85.71428571,14.28571429,14.28571429,42.85714286,85.71428571,100,28.57142857,28.57142857,28.57142857,57.14285714,71.42857143,0,0,0,0,0,14.28571429,14.28571429,42.85714286,85.71428571,100,28.57142857,28.57142857,28.57142857,57.14285714,71.42857143,0,0,0,0,0,28.57142857,28.57142857,42.85714286,71.42857143,100,14.28571429,14.28571429,14.28571429,14.28571429,57.14285714,0,0,0,0,0,14.28571429,14.28571429,14.28571429,42.85714286,100,85.71428571,85.71428571,85.71428571,85.71428571,85.71428571,28.57142857,28.57142857,28.57142857,57.14285714,71.42857143,14.28571429,14.28571429,42.85714286,57.14285714,85.71428571,100,100,100,100,100,28.57142857,28.57142857,28.57142857,28.57142857,71.42857143,0,0,0,0,0,14.28571429,14.28571429,14.28571429,57.14285714,85.71428571,28.57142857,28.57142857,42.85714286,71.42857143,100,14.28571429,14.28571429,14.28571429,42.85714286,57.14285714,85.71428571,85.71428571,85.71428571,85.71428571,100,28.57142857,28.57142857,28.57142857,28.57142857,71.42857143,0,0,0,0,0,14.28571429,14.28571429,28.57142857,57.14285714,85.71428571,42.85714286,42.85714286,42.85714286,42.85714286,100,28.57142857,28.57142857,57.14285714,71.42857143,100,0,0,0,0,0,14.28571429,14.28571429,14.28571429,42.85714286,85.71428571,57.14285714,57.14285714,57.14285714,57.14285714,57.14285714,42.85714286,42.85714286,42.85714286,42.85714286,100,14.28571429,14.28571429,28.57142857,71.42857143,85.71428571
9,28.57142857,28.57142857,28.57142857,57.14285714,100,42.85714286,42.85714286,42.85714286,71.42857143,85.71428571,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,28.57142857,28.57142857,28.57142857,57.14285714,100,14.28571429,14.28571429,14.28571429,42.85714286,71.42857143,85.71428571,85.71428571,85.71428571,85.71428571,85.71428571,28.57142857,28.57142857,28.57142857,57.14285714,100,14.28571429,14.28571429,14.28571429,42.85714286,71.42857143,85.71428571,85.71428571,85.71428571,85.71428571,85.71428571,28.57142857,28.57142857,57.14285714,85.71428571,100,42.85714286,42.85714286,42.85714286,42.85714286,71.42857143,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,28.57142857,28.57142857,57.14285714,85.71428571,100,14.28571429,14.28571429,14.28571429,42.85714286,71.42857143,0,0,0,0,0,28.57142857,28.57142857,57.14285714,71.42857143,100,0,0,0,0,0,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,28.57142857,28.57142857,28.57142857,57.14285714,100,85.71428571,85.71428571,85.71428571,85.71428571,85.71428571,14.28571429,14.28571429,14.28571429,42.85714286,71.42857143,28.57142857,28.57142857,28.57142857,57.14285714,85.71428571,14.28571429,14.28571429,14.28571429,14.28571429,100,42.85714286,42.85714286,42.85714286,42.85714286,71.42857143,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,85.71428571,85.71428571,85.71428571,85.71428571,85.71428571,28.57142857,28.57142857,42.85714286,57.14285714,100,28.57142857,28.57142857,28.57142857,28.57142857,57.14285714,14.28571429,14.28571429,14.28571429,85.71428571,100,42.85714286,42.85714286,42.85714286,42.85714286,71.42857143,0,0,0,0,0,14.28571429,14.28571429,42.85714286,71.42857143,85.71428571,28.57142857,28.57142857,28.57142857,57.14285714,100,42.85714286,42.85714286,42.85714286,71.42857143,100,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,28.57142857,28.57142857,28.57142857,57.14285714,85.71428571,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,28.57142857,28.57142857,28.57142857,57.14285714,100,42.85714286,42.85714286,42.85714286,71.42857143,85.71428571
