,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,0.25,0,0.25,0.5,0,0.25,0.5,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.5,0,0.25,0,0
1,0.571428571,0.142857143,0,0,0.428571429,0,0,0.428571429,0,0.571428571,0.142857143,0,0.142857143,0,0,0.571428571,0.142857143,0,0.571428571,0.142857143,0,0.571428571,0,0,0,0.142857143,0.571428571,0.571428571,0,0,0,0,0,0,0.571428571,0,0.571428571,0.142857143,0.142857143
2,0.2,0.2,0.4,0,0.4,0,0,0.4,0,0,0.4,0,0.4,0,0.4,0,0.6,0,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0,0,0.2,0,0,0.4,0,0.2,0.2,0.2,0.4,0.2
3,0.25,0.25,0.25,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0.25,0,0.5,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0,0,0.5,0,0.25,0.25,0.25,0.25,0.25
4,0.333333333,0.333333333,0,0,0.666666667,0,0,0.666666667,0,0,0.666666667,0,0.666666667,0,0,0,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0,0.333333333,0,0,0.666666667,0,0.333333333,0.333333333,0.333333333,0,0.333333333
5,0,0,0.444444444,0.222222222,0.222222222,0.333333333,0.333333333,0.111111111,0.222222222,0,0.444444444,0,0.333333333,0.111111111,0.111111111,0.111111111,0.111111111,0.333333333,0.222222222,0.444444444,0,0,0.444444444,0.111111111,0.444444444,0,0,0,0.444444444,0.111111111,0,0,0,0.222222222,0.222222222,0.444444444,0,0.333333333,0
6,0.214285714,0.285714286,0.214285714,0.214285714,0.214285714,0.285714286,0.142857143,0.357142857,0.142857143,0.285714286,0.285714286,0.214285714,0.428571429,0.071428571,0.071428571,0.285714286,0.357142857,0.142857143,0,0.5,0,0,0.285714286,0.214285714,0.071428571,0.428571429,0.214285714,0,0.285714286,0.214285714,0.357142857,0,0.142857143,0.071428571,0.214285714,0.071428571,0.285714286,0.214285714,0.214285714
7,0.428571429,0,0,0.428571429,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.571428571,0,0,0.571428571,0,0,0.571428571,0,0,0.285714286,0.428571429,0.142857143,0.142857143,0.571428571,0,0,0,0.714285714,0.142857143,0.428571429,0.142857143,0,0,0.428571429,0,0.714285714,0,0.142857143,0.142857143,0.285714286
8,0.5,0,0,0.5,0.166666667,0.166666667,0.5,0.166666667,0.166666667,0.666666667,0,0,0.666666667,0,0,0.5,0,0,0.166666667,0.5,0.166666667,0.166666667,0.666666667,0,0,0,0.833333333,0,0.5,0.166666667,0,0,0.5,0,0.833333333,0,0.166666667,0.166666667,0.333333333
9,0.666666667,0.166666667,0,0.666666667,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0.666666667,0.166666667,0,0.833333333,0,0,0,0.166666667,0,0.166666667,0.666666667,0.166666667,0.333333333,0.666666667,0,0,0.166666667,0.333333333,0.166666667,0.5,0.166666667,0,0,0.833333333,0,0.833333333,0.166666667,0.166666667,0,0.666666667
10,0,0,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0.333333333,0,0.333333333,1,0,0,0.666666667,0,0,0,0,1,0,0.333333333,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0,0,0,0.666666667,0.333333333,0,0.666666667,0
11,0.4,0,0,0.2,0,0.2,0.2,0,0.2,0.4,0,0,0.4,0,0,0.6,0,0,0,0.2,0.2,0,0.4,0,0,0,0.8,0,0.2,0.2,0,0,0.4,0,0.4,0,0.2,0.2,0.2
12,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0,1,0,1,0,0,0,0.333333333,0,0,0.666666667,0.333333333,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0,0,1,0.333333333,0,0.333333333
13,0.625,0.125,0,0,0.375,0,0,0.375,0,0.625,0.125,0,0.125,0,0,0.625,0.125,0,0.625,0.125,0,0.625,0,0,0,0.125,0.625,0.625,0,0,0,0,0,0,0.625,0,0.625,0.125,0.125
